Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Hydro,%,0.02
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Other Fossil,%,5.1
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Solar,%,0.04
India,IND,Andaman and Nicobar,AN,Union territory,01-10-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Hydro,%,16.09
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Other Fossil,%,77.41
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Solar,%,6.5
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Hydro,%,0.04
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Other Fossil,%,5.1
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Solar,%,0.03
India,IND,Andaman and Nicobar,AN,Union territory,01-11-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Hydro,%,11.12
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Nuclear,%,0
